序次 十五音	舒聲碼	入聲碼
1	   君   un	    ut
2	   堅	ian	    iat
3	   金	im	    ip
4	   規	ui	    uih
5	   嘉	ee	    eeh
6	   干	an	    at
7	   公	ong	    ok
8	   乖	uai	    uaih
9	   經	ing	    ik
10	   觀	uan	    uat
11	   沽	oo	    ooh
12	   嬌	iau	    iauh
13	   稽	ei	    eih
14	   恭	iong	iok
15	   高	o	    oh
16	   皆	ai	    aih
17	   巾	in	    it
18	   姜	iang	iak
19	   甘	am	    ap
20	   瓜	ua	    uah
21	   江	ang	    ak
22	   兼	iam	    iap
23	   交	au	    auh
24	   迦	ia	    iah
25	   檜	ue	    ueh
26	   監	ann	    annh
27	   艍	u	    uh
28	   膠	a	    ah
29	   居	i	    ih
30	   丩	iu	    iuh
31	   更	enn	    ennh
32	   褌	uinn	uinnh
33	   茄	io	    ioh
34	   梔	inn	    innh
35	   薑	ionn	ionnh
36	   驚	iannh	iannh
37	   官	uann	uannh
38	   鋼	ng	    ngh
39	   伽	e	    eh
40	   閒	ainn	ainnh
41	   姑	onn	    onnh
42	   姆	m	    mh
43	   光	uang	uak
44	   閂	uainn	uainnh
45	   糜	uenn	uennh
46	   嘄	iaunn	iaunnh
47	   箴	om	    op
48	   爻	aunn	aunnh
49	   扛	onn		onnh
50	   牛	iunn	iunnh
